,submarket_name,cbsaid,building_rating_id,Density,Rent,Revenue,rating_bin,Rent_bin
3991,Hartford-West Hartford-East Hartford,25540.0,3,15,25.972446726511603,389.58670089767406,Medium,Medium Quality Expensive
4045,Henderson County,21780.0,3,2,19.077576,38.155152,Medium,Medium Quality Less Expensive
4083,Highlands Ranch,19740.0,3,21,27.898949,585.877929,Medium,Medium Quality Expensive
4086,Highway 50 Corridor,40900.0,3,96,24.56695,2358.4272,Medium,Medium Quality Expensive
4104,Hilo/East Big Island,25900.0,3,9,28.783191,259.048719,Medium,Medium Quality Expensive
4114,Holland North,24340.0,3,2,21.542984,43.085968,Medium,Medium Quality Expensive
4140,Hoover,13820.0,3,17,18.725488,318.33329599999996,Medium,Medium Quality Less Expensive
4150,Horsham/Willow Grove,37980.0,3,69,24.280691,1675.367679,Medium,Medium Quality Expensive
4159,Houghton,26340.0,3,1,21.606777408482955,21.606777408482955,Medium,Medium Quality Expensive
4165,Houston-The Woodlands-Sugar Land,26420.0,3,97,24.053685049004702,2333.2074497534563,Medium,Medium Quality Expensive
4175,Hudson Square,35614.0,3,31,63.212214,1959.5786340000002,Medium,Medium Quality Expensive
4247,I-270/Olive Blvd,41180.0,3,30,21.943609,658.30827,Medium,Medium Quality Expensive
4272,I-394 Corridor,33460.0,3,125,26.78568,3348.21,Medium,Medium Quality Expensive
4275,I-395 Corridor,47900.0,3,35,29.168189,1020.886615,Medium,Medium Quality Expensive
4279,I-494 Corridor,33460.0,3,126,24.414006,3076.164756,Medium,Medium Quality Expensive
4282,I-5 Corridor Outlying,38900.0,3,1,27.469904,27.469904,Medium,Medium Quality Expensive
4302,I-97/Crain Hwy Corridor,12580.0,3,22,25.112088,552.465936,Medium,Medium Quality Expensive
4306,Idaho Falls,26820.0,3,24,21.100013510392003,506.4003242494081,Medium,Medium Quality Expensive
4335,Innsbrook,40060.0,3,68,21.505603,1462.381004,Medium,Medium Quality Expensive
4338,Insurance District,35614.0,3,24,48.282804,1158.787296,Medium,Medium Quality Expensive
4344,Inverness,19740.0,3,45,23.545608,1059.5523600000001,Medium,Medium Quality Expensive
4351,Iowa City,26980.0,3,16,22.27226622052746,356.35625952843935,Medium,Medium Quality Expensive
4355,Iredell County,16740.0,3,64,25.11795,1607.5488,Medium,Medium Quality Expensive
4362,Irvine Spectrum,11244.0,3,194,31.857388,6180.333272,Medium,Medium Quality Expensive
4366,Irvine/Tustin Legacy,11244.0,3,185,33.606849,6217.267064999999,Medium,Medium Quality Expensive
4376,Ithaca MF,27060.0,3,1,22.181120242307596,22.181120242307596,Medium,Medium Quality Expensive
4400,Jacksonville,27260.0,3,19,22.7930565203154,433.0680738859926,Medium,Medium Quality Expensive
4413,Jamestown,27420.0,3,2,17.90065906493472,35.80131812986944,Medium,Medium Quality Less Expensive
4430,Jefferson County,45220.0,3,1,18.136541,18.136541,Medium,Medium Quality Less Expensive
4440,Jefferson Park Avenue MF,16820.0,3,1,24.970122364031997,24.970122364031997,Medium,Medium Quality Expensive
4444,Jennings Mill MF,12020.0,3,2,25.345346410983964,50.69069282196793,Medium,Medium Quality Expensive
4495,Jupiter,48424.0,3,57,33.328826,1899.743082,Medium,Medium Quality Expensive
4502,Kalamazoo-Portage,28020.0,3,4,21.43394447664297,85.73577790657188,Medium,Medium Quality Expensive
4507,Kalispell,28060.0,3,15,20.138766736194714,302.0815010429207,Medium,Medium Quality Expensive
4524,Katy Freeway East,26420.0,3,47,24.360615,1144.948905,Medium,Medium Quality Expensive
4528,Katy Freeway West,26420.0,3,66,23.268111,1535.695326,Medium,Medium Quality Expensive
4532,Katy/Grand Parkway West,26420.0,3,60,27.819366,1669.16196,Medium,Medium Quality Expensive
4549,Kendall,33124.0,3,106,36.695904,3889.765824,Medium,Medium Quality Expensive
4567,Kennewick-Richland,28420.0,3,58,24.855780395802842,1441.635262956565,Medium,Medium Quality Expensive
4601,Ketchikan,28540.0,3,1,32.72723728688429,32.72723728688429,Medium,Medium Quality Expensive
